id;start_date;end_date;language
1;2020-05-15T19:43:00;2020-05-15T17:33:15;SPANISH
2;2020-05-15T00:33:11;2020-05-15T19:37:36;SPANISH
3;2020-05-15T15:28:30;2020-05-15T02:02:39;FRENCH
4;2020-05-15T06:46:01;2020-05-15T18:17:27;FRENCH
5;2020-05-15T16:16:19;2020-05-15T21:03:18;FRENCH
6;2020-05-15T10:08:40;2020-05-15T22:16:54;FRENCH
7;2020-05-15T11:54:00;2020-05-15T05:44:51;FRENCH
8;2020-05-15T10:50:13;2020-05-15T21:06:21;SPANISH
9;2020-05-15T09:31:22;2020-05-15T06:12:45;SPANISH
10;2020-05-15T17:43:26;2020-05-15T04:17:56;SPANISH
